objectid,constituentid,displayorder,roletype,role,prefix,suffix,displaydate,beginyear,endyear,country,zipcode
7457,1353,1,artist,artist,,,,,,,
7460,1353,1,artist,artist,,,,,,,
7462,1353,1,artist,artist,,,,,,,
7465,1353,1,artist,artist,,,,,,,
7466,1353,1,artist,artist,,,,,,,
7467,1353,1,artist,artist,,,,,,,
7468,1353,1,artist,artist,,,,,,,
7470,1353,1,artist,artist,,,,,,,
7472,1353,1,artist,artist,,,,,,,
7473,1353,1,artist,artist,,,,,,,
33905,1935,1,artist,artist,,,,,,,
33908,1935,1,artist,artist,,,,,,,
33914,1935,1,artist,artist,,,,,,,
33916,1935,1,artist,artist,,,,,,,
33917,1935,1,artist,artist,,,,,,,
51400,3473,2,artist,artist after,,,,,,,
150529,5058,1,artist,artist,,,,,,,
33919,1935,1,artist,artist,,,,,,,
33920,1935,1,artist,artist,,,,,,,
33923,1935,1,artist,artist,,,,,,,
33927,1935,1,artist,artist,,,,,,,
39502,1877,1,artist,artist,,,,,,,
101896,1117,1,artist,artist,,,,,,,
101897,1117,1,artist,artist,,,,,,,
7475,1353,1,artist,artist,,,,,,,
7476,1353,1,artist,artist,,,,,,,
7478,1353,1,artist,artist,,,,,,,
7480,1353,1,artist,artist,,,,,,,
7484,1353,1,artist,artist,,,,,,,
7490,1353,1,artist,artist,,,,,,,
23,989,1,artist,painter,,,,,,,
24,989,1,artist,painter,,,,,,,
7494,1353,1,artist,artist,,,,,,,
7498,1353,1,artist,artist,,,,,,,
7499,1353,1,artist,artist,,,,,,,
7501,1353,1,artist,artist,,,,,,,
7503,1353,1,artist,artist,,,,,,,
33942,1935,1,artist,artist,,,,,,,
59235,1966,1,artist,artist,,,,,,,
59236,1966,1,artist,artist,,,,,,,
60766,1932,2,artist,artist after,,,,,,,
33958,1935,2,artist,artist after,,,,,,,
33960,1932,1,artist,artist,,,,,,,
27,1818,1,artist,artist,,,,,,,
28,1818,1,artist,artist,,,,,,,
7508,1353,1,artist,artist,,,,,,,
7512,1353,1,artist,artist,,,,,,,
7513,1353,1,artist,artist,,,,,,,
7514,1353,1,artist,artist,,,,,,,
7515,1353,1,artist,artist,,,,,,,
7516,1353,1,artist,artist,,,,,,,
7518,1353,1,artist,artist,,,,,,,
7519,1353,1,artist,artist,,,,,,,
7520,1353,1,artist,artist,,,,,,,
7524,1353,1,artist,artist,,,,,,,
30253,1330,1,artist,artist,,,,,,,
30255,1330,1,artist,artist,,,,,,,
7525,1353,1,artist,artist,,,,,,,
7527,1353,1,artist,artist,,,,,,,
7539,1353,1,artist,artist,,,,,,,
7540,1353,1,artist,artist,,,,,,,
7543,1353,1,artist,artist,,,,,,,
7544,1353,1,artist,artist,,,,,,,
30260,1330,1,artist,artist,,,,,,,
30261,1330,1,artist,artist,,,,,,,
30262,1330,1,artist,artist,,,,,,,
54489,1818,3,artist,artist after,,,,,,,
60777,1783,1,artist,artist,,,,,,,
102495,1219,1,artist,artist,,,,,,,
102496,1219,1,artist,artist,,,,,,,
102497,1219,1,artist,artist,,,,,,,
102250,1783,1,artist,artist,,,,,,,
111873,5058,1,artist,artist,,,,,,,
150816,1117,1,artist,artist,,,,,,,
150817,1117,1,artist,artist,,,,,,,
150818,1117,1,artist,artist,,,,,,,
150819,1117,1,artist,artist,,,,,,,
150822,1117,2,artist,artist,,,,,,,
150822,1706,6,artist,artist,,,,,,,
150822,1721,4,artist,artist,,,,,,,
150822,1783,3,artist,artist,,,,,,,
150824,1117,1,artist,artist,,,,,,,
150825,1117,1,artist,artist,,,,,,,
150826,1117,1,artist,artist,,,,,,,
150829,1117,1,artist,artist,,,,,,,
72161,1935,1,artist,artist,,,,,,,
72162,5058,1,artist,artist,,,,,,,
46491,1219,1,artist,artist,,,,,,,
7546,1353,1,artist,artist,,,,,,,
7549,1353,1,artist,artist,,,,,,,
7550,1353,1,artist,artist,,,,,,,
7552,1353,1,artist,artist,,,,,,,
7553,1353,1,artist,artist,,,,,,,
7559,1353,1,artist,artist,,,,,,,
7560,1353,1,artist,artist,,,,,,,
33993,1117,1,artist,artist,,,,,,,
33995,1117,1,artist,artist,,,,,,,
33996,1117,1,artist,artist,,,,,,,
33997,1117,1,artist,artist,,,,,,,
42,1932,2,artist,related artist,after,,,,,,
7563,1353,1,artist,artist,,,,,,,
7565,1353,1,artist,artist,,,,,,,
7566,1353,1,artist,artist,,,,,,,
7569,1353,1,artist,artist,,,,,,,
7570,1353,1,artist,artist,,,,,,,
7571,1353,1,artist,artist,,,,,,,
7572,1353,1,artist,artist,,,,,,,
7574,1353,1,artist,artist,,,,,,,
7575,1353,1,artist,artist,,,,,,,
7577,1353,1,artist,artist,,,,,,,
34007,5058,1,artist,artist,,,,,,,
34008,5058,1,artist,artist,,,,,,,
42610,1219,1,artist,artist,,,,,,,
42612,1256,1,artist,artist,,,,,,,
42613,1256,1,artist,artist,,,,,,,
42619,1353,1,artist,artist,,,,,,,
57519,1706,1,artist,artist,,,,,,,
57520,1706,1,artist,artist,,,,,,,
57523,1706,1,artist,artist,,,,,,,
57524,1706,1,artist,artist,,,,,,,
57526,1706,1,artist,artist,,,,,,,
57528,1706,1,artist,artist,,,,,,,
57529,1706,1,artist,artist,,,,,,,
57530,1706,1,artist,artist,,,,,,,
74525,1966,3,artist,artist,,,,,,,
57533,1706,1,artist,artist,,,,,,,
57535,1706,1,artist,artist,,,,,,,
57536,1706,1,artist,artist,,,,,,,
110460,5058,1,artist,artist,,,,,,,
73446,1706,1,artist,artist,,,,,,,
60811,1791,1,artist,artist,,,,,,,
85913,1256,3,artist,related artist,and Style of,,,,,,
85914,1256,3,artist,related artist,and Style of,,,,,,
34029,1330,1,artist,artist,,,,,,,
42622,1353,1,artist,artist,,,,,,,
42621,1353,1,artist,artist,,,,,,,
7580,1353,1,artist,artist,,,,,,,
7581,1353,1,artist,artist,,,,,,,
7583,1353,1,artist,artist,,,,,,,
7586,1353,1,artist,artist,,,,,,,
7587,1353,1,artist,artist,,,,,,,
7592,1353,1,artist,artist,,,,,,,
7593,1353,1,artist,artist,,,,,,,
7594,1353,1,artist,artist,,,,,,,
46505,1349,1,artist,painter,,,,,,,
46506,1349,1,artist,painter,,,,,,,
7597,1353,1,artist,artist,,,,,,,
7598,1353,1,artist,artist,,,,,,,
7601,1353,1,artist,artist,,,,,,,
7603,1353,1,artist,artist,,,,,,,
7604,1353,1,artist,artist,,,,,,,
7606,1353,1,artist,artist,,,,,,,
7607,1353,1,artist,artist,,,,,,,
7609,1353,1,artist,artist,,,,,,,
7610,1353,1,artist,artist,,,,,,,
7613,1353,1,artist,artist,,,,,,,
42637,1706,1,artist,artist,,,,,,,
42638,1706,1,artist,artist,,,,,,,
42642,1706,1,artist,artist,,,,,,,
57549,3473,2,artist,artist after,,,,,,,
57558,1174,1,artist,artist,,,,,,,
59318,1219,1,artist,artist,,,,,,,
71031,1219,1,artist,sculptor,,,,,,,
73452,1932,2,artist,artist after,,,,,,,
30350,1256,1,artist,artist,,,,,,,
46552,1722,1,artist,artist,,,,,,,
7614,1353,1,artist,artist,,,,,,,
7621,1353,1,artist,artist,,,,,,,
7622,1353,1,artist,artist,,,,,,,
7623,1353,1,artist,artist,,,,,,,
7625,1353,1,artist,artist,,,,,,,
7628,1353,1,artist,artist,,,,,,,
7630,1353,1,artist,artist,,,,,,,
46520,1722,1,artist,artist,,,,,,,
46522,1722,1,artist,artist,,,,,,,
46524,1726,1,artist,artist,,,,,,,
7634,1353,1,artist,artist,,,,,,,
7635,1353,1,artist,artist,,,,,,,
7636,1353,1,artist,artist,,,,,,,
7637,1353,1,artist,artist,,,,,,,
42684,1935,1,artist,artist,,,,,,,
46529,1791,1,artist,artist,,,,,,,
157502,1932,2,artist,artist after,,,,,,,
157519,1117,1,artist,artist,,,,,,,
157520,1117,1,artist,artist,,,,,,,
157523,1117,1,artist,artist,,,,,,,
157524,1117,1,artist,artist,,,,,,,
157525,1117,1,artist,artist,,,,,,,
157771,5058,1,artist,artist,,,,,,,
157773,5058,1,artist,artist,,,,,,,
159400,1932,2,artist,artist after,after,,,,,,
163537,1783,1,artist,artist,,,,,,,
163766,1783,1,artist,artist,,,,,,,
164004,1966,1,artist,artist,,,,,,,
164037,1256,1,artist,designer,,,,,,,
164216,1818,2,artist,artist after,after,,,,,,
164240,5058,1,artist,artist,,,,,,,
164241,5058,1,artist,artist,,,,,,,
164923,1349,1,artist,painter,,,,,,,
164934,2594,1,artist,artist,,,,,,,
164951,1791,1,artist,artist,,,,,,,
164960,1870,1,artist,artist,,,,,,,
164960,1870,1,owner,previous owner,,,1882 - 1891,1882.0,1891.0,,
164961,1870,1,artist,artist,,,,,,,
164962,1870,1,artist,artist,,,,,,,
164963,1870,1,artist,artist,,,,,,,
164963,1870,1,owner,previous owner,,,1883 - 1891,1883.0,1891.0,,
164965,1870,1,artist,artist,,,,,,,
164966,1870,1,artist,artist,,,,,,,
164967,1870,1,artist,artist,,,,,,,
165300,1219,1,artist,artist,,,,,,,
165302,1783,1,artist,artist,,,,,,,
165303,1783,1,artist,artist,,,,,,,
165304,1783,1,artist,artist,,,,,,,
165305,1783,1,artist,artist,,,,,,,
165307,1783,1,artist,artist,,,,,,,
165308,1783,1,artist,artist,,,,,,,
165309,1783,1,artist,artist,,,,,,,
165312,1783,1,artist,artist,,,,,,,
165314,1783,1,artist,artist,,,,,,,
165818,1783,1,artist,artist,,,,,,,
165839,1706,1,artist,artist,,,,,,,
165842,1706,1,artist,artist,,,,,,,
165845,1783,1,artist,artist,,,,,,,
165847,1706,1,artist,artist,,,,,,,
165852,1783,1,artist,artist,,,,,,,
165857,1706,1,artist,artist,,,,,,,
166106,1791,1,artist,artist,,,,,,,
168870,1793,1,artist,artist,,,,,,,
169176,5058,1,artist,artist,,,,,,,
169177,5058,1,artist,artist,,,,,,,
171332,1966,1,artist,artist,,,,,,,
172103,1966,1,artist,artist,,,,,,,
173945,1721,1,artist,artist,,,,,,,
173998,1783,1,artist,artist,,,,,,,
174371,1966,1,artist,artist,,,,,,,
174873,1966,1,artist,artist,,,,,,,
175117,1966,1,artist,artist,,,,,,,
175118,1966,1,artist,artist,,,,,,,
175119,1966,1,artist,artist,,,,,,,
175120,1966,1,artist,artist,,,,,,,
175121,1966,1,artist,artist,,,,,,,
175123,1966,1,artist,artist,,,,,,,
175131,1966,1,artist,artist,,,,,,,
175132,1966,1,artist,artist,,,,,,,
175133,1966,1,artist,artist,,,,,,,
175135,1966,1,artist,artist,,,,,,,
175137,1966,1,artist,artist,,,,,,,
175138,1966,1,artist,artist,,,,,,,
175142,1966,1,artist,artist,,,,,,,
175147,1966,1,artist,artist,,,,,,,
175149,1966,1,artist,artist,,,,,,,
175151,1966,1,artist,artist,,,,,,,
175153,1966,1,artist,artist,,,,,,,
175155,1966,1,artist,artist,,,,,,,
175157,1966,1,artist,artist,,,,,,,
175159,1966,1,artist,artist,,,,,,,
175160,1966,1,artist,artist,,,,,,,
175162,1966,1,artist,artist,,,,,,,
175164,1966,1,artist,artist,,,,,,,
175167,1966,1,artist,artist,,,,,,,
175171,1966,1,artist,artist,,,,,,,
175173,1966,1,artist,artist,,,,,,,
175174,1966,1,artist,artist,,,,,,,
175175,1966,1,artist,artist,,,,,,,
175178,1966,1,artist,artist,,,,,,,
175181,1966,1,artist,artist,,,,,,,
175182,1966,1,artist,artist,,,,,,,
175186,1966,1,artist,artist,,,,,,,
175187,1966,1,artist,artist,,,,,,,
175188,1966,1,artist,artist,,,,,,,
175191,1966,1,artist,artist,,,,,,,
175193,1966,1,artist,artist,,,,,,,
175195,1966,1,artist,artist,,,,,,,
175202,1966,1,artist,artist,,,,,,,
175203,1966,1,artist,artist,,,,,,,
175204,1966,1,artist,artist,,,,,,,
175206,1966,1,artist,artist,,,,,,,
175208,1966,1,artist,artist,,,,,,,
175210,1966,1,artist,artist,,,,,,,
175211,1966,1,artist,artist,,,,,,,
175212,1966,1,artist,artist,,,,,,,
175214,1966,1,artist,artist,,,,,,,
175215,1966,1,artist,artist,,,,,,,
175216,1966,1,artist,artist,,,,,,,
175220,1966,1,artist,artist,,,,,,,
175221,1966,1,artist,artist,,,,,,,
175224,1966,1,artist,artist,,,,,,,
175225,1966,1,artist,artist,,,,,,,
175230,1966,1,artist,artist,,,,,,,
175233,1966,1,artist,artist,,,,,,,
175235,1966,1,artist,artist,,,,,,,
175236,1966,1,artist,artist,,,,,,,
175238,1966,1,artist,artist,,,,,,,
175239,1966,1,artist,artist,,,,,,,
175241,1966,1,artist,artist,,,,,,,
175246,1966,1,artist,artist,,,,,,,
175247,1966,1,artist,artist,,,,,,,
175249,1966,1,artist,artist,,,,,,,
175250,1966,1,artist,artist,,,,,,,
175251,1966,1,artist,artist,,,,,,,
175252,1966,1,artist,artist,,,,,,,
175253,1966,1,artist,artist,,,,,,,
175254,1966,1,artist,artist,,,,,,,
175257,1966,1,artist,artist,,,,,,,
175263,1966,1,artist,artist,,,,,,,
175264,1966,1,artist,artist,,,,,,,
175270,1966,1,artist,artist,,,,,,,
175272,1966,1,artist,artist,,,,,,,
175275,1966,1,artist,artist,,,,,,,
175280,1966,1,artist,artist,,,,,,,
175285,1966,1,artist,artist,,,,,,,
175287,1966,1,artist,artist,,,,,,,
175288,1966,1,artist,artist,,,,,,,
175290,1966,1,artist,artist,,,,,,,
175295,1966,1,artist,artist,,,,,,,
176156,1966,1,artist,artist,,,,,,,
176597,1174,1,artist,painter,,,,,,,
177045,1818,2,artist,artist after,after,,,,,,
177698,1174,1,artist,painter,,,,,,,
181143,1783,1,artist,artist,,,,,,,
184214,1219,1,artist,artist,,,,,,,
195850,1791,1,artist,painter,,,,,,,
196033,1783,1,artist,artist,,,,,,,
200634,1966,1,artist,artist,,,,,,,
200636,1966,1,artist,artist,,,,,,,
200637,1966,1,artist,artist,,,,,,,
200638,1966,1,artist,artist,,,,,,,
200639,1966,1,artist,artist,,,,,,,
200640,1966,1,artist,artist,,,,,,,
200641,1966,1,artist,artist,,,,,,,
200643,1966,1,artist,artist,,,,,,,
200646,1966,1,artist,artist,,,,,,,
200649,1966,1,artist,artist,,,,,,,
200651,1966,1,artist,artist,,,,,,,
200652,1966,1,artist,artist,,,,,,,
200653,1966,1,artist,artist,,,,,,,
200895,1353,1,artist,artist,,,,,,,
202758,1256,2,artist,artist after,,,,,,,
205570,1721,1,artist,artist,,,,,,,
205631,5058,1,artist,artist,,,,,,,
205637,5058,1,artist,artist,,,,,,,
205905,1783,1,artist,artist,,,,,,,
206069,1256,1,artist,artist,,,,,,,
207493,5058,1,artist,artist,,,,,,,
207495,5058,1,artist,artist,,,,,,,
207504,5058,1,artist,artist,,,,,,,
207508,5058,1,artist,artist,,,,,,,
207512,5058,1,artist,artist,,,,,,,
207523,5058,1,artist,artist,,,,,,,
207524,5058,1,artist,artist,,,,,,,
207539,5058,1,artist,artist,,,,,,,
207548,5058,1,artist,artist,,,,,,,
207552,5058,1,artist,artist,,,,,,,
207563,5058,1,artist,artist,,,,,,,
207574,5058,1,artist,artist,,,,,,,
207576,5058,1,artist,artist,,,,,,,
207578,5058,1,artist,artist,,,,,,,
207579,5058,1,artist,artist,,,,,,,
207581,5058,1,artist,artist,,,,,,,
207584,5058,1,artist,artist,,,,,,,
207589,5058,1,artist,artist,,,,,,,
207592,5058,1,artist,artist,,,,,,,
207594,5058,1,artist,artist,,,,,,,
207595,5058,1,artist,artist,,,,,,,
207606,5058,1,artist,artist,,,,,,,
208348,1935,1,artist,artist,,,,,,,
208473,1219,1,artist,artist,,,,,,,
209294,1205,1,artist,artist,,,,,,,
209782,3473,2,artist,artist after,,,,,,,
209783,3473,2,artist,artist after,,,,,,,
209785,3473,4,artist,artist after,,,,,,,
209798,1818,3,artist,artist after,after,,,,,,
211483,1479,2,artist,artist after,,,,,,,
211485,1479,2,artist,artist after,,,,,,,
211490,1479,2,artist,artist after,,,,,,,
211492,1479,2,artist,artist after,,,,,,,
211493,1479,2,artist,artist after,,,,,,,
211494,1479,2,artist,artist after,,,,,,,
211495,1479,2,artist,artist after,,,,,,,
211496,1479,2,artist,artist after,,,,,,,
211931,1721,1,artist,artist,,,,,,,
211934,1721,1,artist,artist,,,,,,,
211937,1721,1,artist,artist,,,,,,,
211938,1721,1,artist,artist,,,,,,,
211939,1721,1,artist,artist,,,,,,,
211940,1721,1,artist,artist,,,,,,,
211941,1721,1,artist,artist,,,,,,,
211946,1721,1,artist,artist,,,,,,,
211948,1721,1,artist,artist,,,,,,,
211949,1721,1,artist,artist,,,,,,,
211950,1721,1,artist,artist,,,,,,,
211951,1721,1,artist,artist,,,,,,,
211952,1721,1,artist,artist,,,,,,,
211953,1721,1,artist,artist,,,,,,,
211954,1721,1,artist,artist,,,,,,,
211955,1721,1,artist,artist,,,,,,,
211956,1721,1,artist,artist,,,,,,,
211958,1721,1,artist,artist,,,,,,,
211960,1721,1,artist,artist,,,,,,,
211963,1721,1,artist,artist,,,,,,,
211964,1721,1,artist,artist,,,,,,,
211965,1721,1,artist,artist,,,,,,,
211967,1721,1,artist,artist,,,,,,,
211970,1721,1,artist,artist,,,,,,,
211971,1721,1,artist,artist,,,,,,,
211973,1721,1,artist,artist,,,,,,,
211975,1721,1,artist,artist,,,,,,,
211976,1721,1,artist,artist,,,,,,,
211977,1721,1,artist,artist,,,,,,,
211981,1721,1,artist,artist,,,,,,,
211982,1721,1,artist,artist,,,,,,,
211983,1721,1,artist,artist,,,,,,,
211989,1721,1,artist,artist,,,,,,,
211990,1721,1,artist,artist,,,,,,,
