objectid,element,dimensiontype,dimension,unitname
23,overall,width,54.5,centimeters
23,overall,height,74.5,centimeters
24,painted surface,width,102.0,centimeters
24,painted surface,height,68.0,centimeters
27,overall,width,57.5,centimeters
27,overall,height,80.7,centimeters
42,overall,width,50.6,centimeters
42,overall,height,64.8,centimeters
87,overall,width,41.3,centimeters
87,overall,height,49.2,centimeters
88,overall,width,60.0,centimeters
88,overall,height,74.0,centimeters
90,overall,width,65.8,centimeters
90,overall,height,112.0,centimeters
91,overall,width,55.0,centimeters
91,overall,height,99.5,centimeters
93,overall,width,30.0,centimeters
93,overall,height,46.6,centimeters
95,overall,width,58.0,centimeters
95,overall,height,71.0,centimeters
400,overall,width,81.9,centimeters
400,overall,height,91.4,centimeters
435,overall,width,73.8,centimeters
435,overall,height,97.8,centimeters
612,sheet,width,21.4,centimeters
612,sheet,height,29.9,centimeters
654,sheet,width,25.2,centimeters
654,sheet,height,19.5,centimeters
745,sheet,width,48.58,centimeters
745,sheet,height,35.88,centimeters
852,sheet,width,28.2,centimeters
852,sheet,height,38.9,centimeters
1138,overall,width,188.0,centimeters
1138,overall,height,170.2,centimeters
1158,overall,width,88.9,centimeters
1158,overall,height,40.0,centimeters
1164,overall,width,103.0,centimeters
1164,overall,height,193.5,centimeters
1165,overall,width,103.0,centimeters
1165,overall,height,193.5,centimeters
1222,overall,width,106.5,centimeters
1222,overall,height,122.0,centimeters
1223,overall,width,136.0,centimeters
1223,overall,height,106.8,centimeters
4152,sheet,width,23.4,centimeters
4152,sheet,height,31.2,centimeters
6085,sheet,width,25.1,centimeters
6085,sheet,height,32.9,centimeters
6478,plate,width,14.4,centimeters
6478,plate,height,23.2,centimeters
6482,sheet,width,24.5,centimeters
6482,sheet,height,16.0,centimeters
6491,overall,width,33.5,centimeters
6491,overall,height,20.7,centimeters
6492,overall,width,14.1,centimeters
6492,overall,height,13.3,centimeters
6493,overall,width,25.1,centimeters
6493,overall,height,14.1,centimeters
6571,sheet,width,18.6,centimeters
6571,sheet,height,24.0,centimeters
6572,sheet,width,13.7,centimeters
6572,sheet,height,14.9,centimeters
6580,sheet,width,13.1,centimeters
6580,sheet,height,19.1,centimeters
6591,sheet,width,7.7,centimeters
6591,sheet,height,10.8,centimeters
6592,sheet,width,7.7,centimeters
6592,sheet,height,10.8,centimeters
6596,sheet,width,7.1,centimeters
6596,sheet,height,11.8,centimeters
6600,sheet,width,22.3,centimeters
6600,sheet,height,32.5,centimeters
6601,sheet,width,18.8,centimeters
6601,sheet,height,24.7,centimeters
6604,sheet,width,7.2,centimeters
6604,sheet,height,11.6,centimeters
6625,sheet,width,7.5,centimeters
6625,sheet,height,11.6,centimeters
6626,sheet,width,7.5,centimeters
6626,sheet,height,11.6,centimeters
6640,sheet,width,18.8,centimeters
6640,sheet,height,24.2,centimeters
6647,sheet,width,7.3,centimeters
6647,sheet,height,11.6,centimeters
6668,sheet,width,12.6,centimeters
6668,sheet,height,16.9,centimeters
6669,sheet,width,12.7,centimeters
6669,sheet,height,19.2,centimeters
6674,sheet,width,7.0,centimeters
